run_id,timestamp,dashboard_name,dashboard_url,page_title,final_url,http_status,browser_launch_seconds,page_load_seconds,dashboard_render_seconds,screenshot_seconds,total_execution_seconds,total_requests,total_responses,failed_requests,console_messages,page_errors
9b5e6eb8-e129-4602-acf7-c9feb2b54af0,2026-07-31 15:27:08,HR Analytics Data Model,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,Power BI,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,200,9.086,0.595,10.007,0.197,19.885,21,19,0,0,0
5ec37353-e6af-490d-8cb9-09399c89d721,2026-07-31 15:27:27,Sheet Cake Retail sales,https://app.powerbi.com/groups/fc07298b-68d9-4b15-8dbd-92e6fbc11c3a/reports/18a733b5-a984-4763-b581-fe8a52ccb25a?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,Power BI,https://app.powerbi.com/groups/fc07298b-68d9-4b15-8dbd-92e6fbc11c3a/reports/18a733b5-a984-4763-b581-fe8a52ccb25a?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,200,8.535,0.606,10.011,0.213,19.365000000000002,21,19,0,0,0
b1f6b192-1c11-4531-818f-1d88795d3168,2026-07-31 19:18:44,HR Analytics Data Model,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,Page 1 - HR Analytics Data Model - Power BI,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5/ReportSectiona3a61fc339266647faed?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,200,30.712,0.667,10.014,0.321,41.714,120,115,4,4,0
fb85c077-64ba-40ed-9876-591c68adab5f,2026-07-31 19:19:21,Sheet Cake Retail sales,https://app.powerbi.com/groups/fc07298b-68d9-4b15-8dbd-92e6fbc11c3a/reports/18a733b5-a984-4763-b581-fe8a52ccb25a?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,1/4 Sheet Cake Retail Sales TY vs LY GCP - Power BI,https://app.powerbi.com/groups/fc07298b-68d9-4b15-8dbd-92e6fbc11c3a/reports/18a733b5-a984-4763-b581-fe8a52ccb25a/ReportSection2a28fc03c379139420ca?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,200,25.688,0.71,10.01,0.181,36.589,132,125,4,4,0
8c3e4be8-88a2-466c-9ea6-eec93adb44be,2026-08-02 22:20:07,HR Analytics Data Model,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,HR Analytics Data Model - Power BI,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5/ReportSectiona3a61fc339266647faed?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,200,29.35,1.131,10.017,0.183,40.681000000000004,118,113,4,4,0
00476cc2-f74e-427a-9989-7fe724193b4c,2026-08-02 22:28:08,HR Analytics Data Model,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,HR Analytics Data Model - Power BI,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/8bebcbe8-744a-42af-93f2-8ceec34939d5/ReportSectiona3a61fc339266647faed?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,200,23.392,0.631,10.042,0.192,34.257,118,112,4,4,0
10aeb5bf-f0e9-43e9-b3c9-c010683344b7,2026-08-02 22:29:28,Sheet Cake Retail sales,https://app.powerbi.com/groups/fc07298b-68d9-4b15-8dbd-92e6fbc11c3a/reports/18a733b5-a984-4763-b581-fe8a52ccb25a?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&pbi_source=linkShare,1/4 Sheet Cake Retail Sales TY vs LY GCP - Power BI,https://app.powerbi.com/groups/fc07298b-68d9-4b15-8dbd-92e6fbc11c3a/reports/18a733b5-a984-4763-b581-fe8a52ccb25a/ReportSection2a28fc03c379139420ca?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,200,19.468,0.813,10.015,0.167,30.463,134,126,4,4,0
ce74da2d-3dce-48fe-a8a8-5b45be7e0a8c,2026-08-03 17:00:11,HR Linkdin Learnings Trendence,https://app.powerbi.com/groups/5e460a68-6f15-41f3-a1fa-d7fbf7245850/reports/32bcac73-bf58-462e-9c8a-888f444f1f23/b336d82694c085080013?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi&bookmarkGuid=5ac48e9e6d0a96011379,HR Linkedin Learning GCP Prod - Power BI,https://app.powerbi.com/groups/5e460a68-6f15-41f3-a1fa-d7fbf7245850/reports/32bcac73-bf58-462e-9c8a-888f444f1f23/b336d82694c085080013?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi&bookmarkGuid=5ac48e9e6d0a96011379,200,29.974,1.045,10.027,0.378,41.424,155,148,4,4,0
f88d2837-6889-49e6-b4be-0e86c32f5e1d,2026-08-03 17:01:01,HR linkdin learningd,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/0718cb2f-ec2a-45ea-a57e-4cecce8bed5d/b336d82694c085080013?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,HR Linkedin Learning - Power BI,https://app.powerbi.com/groups/c1bacf56-2795-4173-8cee-dd7dba5c7e06/reports/0718cb2f-ec2a-45ea-a57e-4cecce8bed5d/b336d82694c085080013?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi,200,19.368,0.621,10.022,0.24,30.250999999999994,155,148,4,4,0
19c04811-f06a-4d41-9a01-1c7b1013a6c0,2026-08-03 20:01:28,HR Linkdin Learnings Trendence,https://app.powerbi.com/groups/5e460a68-6f15-41f3-a1fa-d7fbf7245850/reports/32bcac73-bf58-462e-9c8a-888f444f1f23/b336d82694c085080013?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi&bookmarkGuid=5ac48e9e6d0a96011379,HR Linkedin Learning GCP Prod - Power BI,https://app.powerbi.com/groups/5e460a68-6f15-41f3-a1fa-d7fbf7245850/reports/32bcac73-bf58-462e-9c8a-888f444f1f23/b336d82694c085080013?ctid=e7c6f609-f63a-4ec7-b71e-6734c4c9d231&experience=power-bi&bookmarkGuid=5ac48e9e6d0a96011379,200,39.442,0.533,10.012,0.167,50.154,154,150,4,4,0
